time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-02-07T22:55:08.226Z,12.841803,80.157291,,24.34,,,0,network,,,,,,,,64,
2019-02-07T22:57:11.195Z,12.841802,80.157276,-67.30000305175781,24.159,,,0,network,,,,,,,,64,
2019-02-07T23:04:42.849Z,12.841811,80.157280,,24.151,,,0,network,,,,,,,,66,
2019-02-07T23:12:31.531Z,12.841815,80.157288,,23.296,,,0,network,,,,,,,,67,
2019-02-07T23:15:02.518Z,12.841815,80.157288,,23.302,,,0,network,,,,,,,,68,
2019-02-07T23:17:32.703Z,12.841815,80.157288,,23.302,,,0,network,,,,,,,,69,
2019-02-07T23:20:02.963Z,12.841815,80.157288,,23.302,,,0,network,,,,,,,,69,
2019-02-07T23:23:01.709Z,12.841815,80.157288,,24.152,,,0,network,,,,,,,,70,
2019-02-07T23:25:36.014Z,12.841811,80.157280,,24.09,,,0,network,,,,,,,,70,
2019-02-07T23:28:44.021Z,12.841815,80.157287,,24.112,,,0,network,,,,,,,,71,
2019-02-07T23:33:45.105Z,12.841811,80.157284,,24.193,,,0,network,,,,,,,,72,
2019-02-07T23:36:18.736Z,12.841811,80.157291,,24.253,,,0,network,,,,,,,,72,
2019-02-07T23:41:32.091Z,12.841807,80.157288,,24.336,,,0,network,,,,,,,,73,
2019-02-07T23:44:17.294Z,12.841822,80.157284,,24.356,,,0,network,,,,,,,,74,
2019-02-07T23:46:31.073Z,12.841834,80.157276,,24.377,,,0,network,,,,,,,,74,
2019-02-07T23:52:00.856Z,12.841834,80.157276,,24.381,,,0,network,,,,,,,,75,
2019-02-07T23:56:28.707Z,12.841807,80.157284,,24.221,,,0,network,,,,,,,,76,
2019-02-07T23:59:01.924Z,12.841807,80.157284,,24.192,,,0,network,,,,,,,,77,
2019-02-08T00:01:47.818Z,12.841811,80.157280,,24.148,,,0,network,,,,,,,,77,
2019-02-08T00:10:02.003Z,12.841816,80.157285,,24.355,,,0,network,,,,,,,,79,
2019-02-08T00:12:48.906Z,12.841824,80.157285,,24.429,,,0,network,,,,,,,,88,
2019-02-08T00:15:02.053Z,12.841804,80.157293,,24.352,,,0,network,,,,,,,,96,
2019-02-08T00:20:02.064Z,12.841778,80.157195,,24.498,,,0,network,,,,,,,,97,
2019-02-08T00:22:26.222Z,12.841807,80.157288,,24.344,,,0,network,,,,,,,,97,
2019-02-08T00:25:08.882Z,12.841811,80.157284,,24.203,,,0,network,,,,,,,,98,
2019-02-08T00:27:56.165Z,12.841834,80.157275,,24.401,,,0,network,,,,,,,,99,
2019-02-08T00:30:00.359Z,12.841815,80.157287,,24.148,,,0,network,,,,,,,,100,
2019-02-08T00:32:32.881Z,12.841811,80.157284,,24.169,,,0,network,,,,,,,,100,
2019-02-08T00:35:02.895Z,12.841811,80.157292,,23.318,,,0,network,,,,,,,,100,
2019-02-08T00:37:33.147Z,12.841815,80.157288,,23.307,,,0,network,,,,,,,,100,
2019-02-08T00:40:03.642Z,12.841818,80.157291,,24.385,,,0,network,,,,,,,,100,
2019-02-08T00:43:00.894Z,12.841811,80.157291,,24.305,,,0,network,,,,,,,,100,
2019-02-08T00:48:00.928Z,12.841814,80.157286,,24.347,,,0,network,,,,,,,,100,
2019-02-08T00:52:02.764Z,12.841814,80.157286,,24.347,,,0,network,,,,,,,,100,
2019-02-08T00:56:36.991Z,12.841814,80.157286,,24.258,,,0,network,,,,,,,,100,
2019-02-08T01:04:57.032Z,12.841811,80.157280,,24.162,,,0,network,,,,,,,,100,
2019-02-08T01:07:44.527Z,12.841819,80.157276,,24.224,,,0,network,,,,,,,,100,
2019-02-08T01:10:00.893Z,12.841815,80.157288,,24.178,,,0,network,,,,,,,,100,
2019-02-08T01:15:00.980Z,12.841811,80.157280,,24.15,,,0,network,,,,,,,,100,
2019-02-08T01:19:02.851Z,12.841811,80.157280,,24.127,,,0,network,,,,,,,,100,
2019-02-08T01:21:33.129Z,12.841811,80.157280,,24.12,,,0,network,,,,,,,,100,
2019-02-08T01:24:06.830Z,12.841811,80.157280,,24.12,,,0,network,,,,,,,,100,
2019-02-08T01:26:36.924Z,12.841811,80.157280,,24.117,,,0,network,,,,,,,,100,
2019-02-08T01:29:09.914Z,12.841811,80.157280,,24.085,,,0,network,,,,,,,,100,
2019-02-08T01:31:35.757Z,12.841811,80.157280,,24.099,,,0,network,,,,,,,,100,
2019-02-08T01:34:31.870Z,12.841811,80.157280,,24.113,,,0,network,,,,,,,,100,
2019-02-08T01:37:01.897Z,12.841811,80.157280,,24.111,,,0,network,,,,,,,,100,
2019-02-08T01:39:32.372Z,12.841811,80.157280,,24.113,,,0,network,,,,,,,,100,
2019-02-08T01:41:33.674Z,12.841815,80.157287,,24.137,,,0,network,,,,,,,,100,
2019-02-08T01:46:00.969Z,12.841815,80.157287,,24.137,,,0,network,,,,,,,,100,
2019-02-08T01:51:32.452Z,12.841814,80.157286,,24.226,,,0,network,,,,,,,,100,
2019-02-08T01:54:48.542Z,12.841806,80.157283,,24.287,,,0,network,,,,,,,,100,
2019-02-08T01:57:55.528Z,12.841810,80.157283,,24.255,,,0,network,,,,,,,,100,
2019-02-08T02:00:19.839Z,12.841810,80.157269,,24.182,,,0,network,,,,,,,,100,
2019-02-08T02:05:25.788Z,12.841816,80.157289,,23.282,,,0,network,,,,,,,,100,
2019-02-08T02:09:26.912Z,12.841816,80.157289,,23.31,,,0,network,,,,,,,,100,
2019-02-08T02:11:30.848Z,12.841812,80.157293,,24.34,,,0,network,,,,,,,,100,
2019-02-08T02:14:24.864Z,12.841823,80.157288,,24.333,,,0,network,,,,,,,,100,
2019-02-08T02:17:09.096Z,12.841819,80.157291,,24.305,,,0,network,,,,,,,,100,
2019-02-08T02:21:47.802Z,12.841815,80.157288,,23.325,,,0,network,,,,,,,,100,
2019-02-08T02:24:23.814Z,12.841811,80.157291,,24.238,,,0,network,,,,,,,,100,
2019-02-08T02:26:31.052Z,12.841815,80.157287,,24.123,,,0,network,,,,,,,,100,
2019-02-08T02:31:01.319Z,12.841815,80.157288,,23.308,,,0,network,,,,,,,,100,
2019-02-08T02:38:17.920Z,12.841815,80.157288,,23.282,,,0,network,,,,,,,,100,
2019-02-08T02:42:34.780Z,12.841815,80.157288,,23.261,,,0,network,,,,,,,,100,
2019-02-08T02:45:01.963Z,12.841815,80.157288,,23.27,,,0,network,,,,,,,,100,
2019-02-08T02:49:03.194Z,12.841811,80.157292,,23.359,,,0,network,,,,,,,,100,
2019-02-08T02:51:04.450Z,12.841827,80.157287,,24.272,,,0,network,,,,,,,,100,
2019-02-08T02:55:26.200Z,12.841827,80.157287,,24.272,,,0,network,,,,,,,,100,
2019-02-08T03:00:06.391Z,12.841827,80.157287,,24.272,,,0,network,,,,,,,,100,
2019-02-08T03:04:16.121Z,12.841823,80.157288,,24.355,,,0,network,,,,,,,,100,
2019-02-08T03:06:19.482Z,12.841823,80.157288,,24.382,,,0,network,,,,,,,,100,
2019-02-08T03:11:20.803Z,12.841811,80.157292,,23.357,,,0,network,,,,,,,,100,
2019-02-08T03:15:25.128Z,12.841811,80.157292,,23.384,,,0,network,,,,,,,,100,
2019-02-08T03:19:26.198Z,12.841827,80.157288,,23.385,,,0,network,,,,,,,,100,
2019-02-08T03:21:34.544Z,12.841815,80.157288,,23.309,,,0,network,,,,,,,,100,
2019-02-08T03:26:33.541Z,12.841811,80.157291,,24.231,,,0,network,,,,,,,,100,
2019-02-08T03:31:00.088Z,12.841822,80.157287,,24.346,,,0,network,,,,,,,,100,
2019-02-08T03:35:38.436Z,12.841822,80.157287,,24.332,,,0,network,,,,,,,,100,
2019-02-08T03:38:09.678Z,12.841807,80.157288,,24.307,,,0,network,,,,,,,,100,
2019-02-08T03:42:13.236Z,12.841815,80.157288,,24.176,,,0,network,,,,,,,,100,
2019-02-08T03:48:31.937Z,12.841815,80.157288,,24.259,,,0,network,,,,,,,,100,
2019-02-08T03:51:00.528Z,12.841815,80.157288,,24.259,,,0,network,,,,,,,,100,
2019-02-08T03:53:31.508Z,12.841815,80.157288,,24.259,,,0,network,,,,,,,,100,
2019-02-08T03:56:04.136Z,12.841815,80.157288,,24.217,,,0,network,,,,,,,,100,
2019-02-08T03:58:42.983Z,12.841815,80.157288,,24.22,,,0,network,,,,,,,,100,
